,year,Senate,HOR,value,president,party,All_beverages_in_Gallons
27,1980,Democrats,Democrats,11.72,Jimmy Carter,Democratic,2.75
28,1980,Democrats,Democrats,11.94,Jimmy Carter,Democratic,2.75
29,1980,Democrats,Democrats,11.82,Jimmy Carter,Democratic,2.75
30,1980,Democrats,Democrats,11.9,Jimmy Carter,Democratic,2.75
31,1980,Democrats,Democrats,12.11,Jimmy Carter,Democratic,2.75
32,1980,Democrats,Democrats,12.61,Jimmy Carter,Democratic,2.75
33,1980,Democrats,Democrats,12.56,Jimmy Carter,Democratic,2.75
34,1980,Democrats,Democrats,12.77,Jimmy Carter,Democratic,2.75
35,1980,Democrats,Democrats,12.59,Jimmy Carter,Democratic,2.75
36,1980,Democrats,Democrats,12.69,Jimmy Carter,Democratic,2.75
37,1980,Democrats,Democrats,12.85,Jimmy Carter,Democratic,2.75
38,1980,Democrats,Democrats,12.76,Jimmy Carter,Democratic,2.75
39,1980,Democrats,Democrats,12.29,Jimmy Carter,Democratic,2.75
40,1980,Democrats,Democrats,12.25,Jimmy Carter,Democratic,2.75
41,1980,Democrats,Democrats,12.32,Jimmy Carter,Democratic,2.75
42,1980,Democrats,Democrats,12.35,Jimmy Carter,Democratic,2.75
43,1980,Democrats,Democrats,12.4,Jimmy Carter,Democratic,2.75
44,1980,Democrats,Democrats,12.64,Jimmy Carter,Democratic,2.75
45,1980,Democrats,Democrats,12.5,Jimmy Carter,Democratic,2.75
46,1980,Democrats,Democrats,12.25,Jimmy Carter,Democratic,2.75
47,1980,Democrats,Democrats,12.12,Jimmy Carter,Democratic,2.75
48,1980,Democrats,Democrats,12.39,Jimmy Carter,Democratic,2.75
49,1980,Democrats,Democrats,12.19,Jimmy Carter,Democratic,2.75
50,1980,Democrats,Democrats,12.21,Jimmy Carter,Democratic,2.75
51,1980,Democrats,Democrats,12.2,Jimmy Carter,Democratic,2.75
52,1980,Democrats,Democrats,12,Jimmy Carter,Democratic,2.75
53,1980,Democrats,Democrats,11.97,Jimmy Carter,Democratic,2.75
54,1980,Democrats,Democrats,12.22,Jimmy Carter,Democratic,2.75
55,1980,Democrats,Democrats,12.28,Jimmy Carter,Democratic,2.75
56,1980,Democrats,Democrats,12.69,Jimmy Carter,Democratic,2.75
57,1980,Democrats,Democrats,12.67,Jimmy Carter,Democratic,2.75
58,1980,Democrats,Democrats,12.56,Jimmy Carter,Democratic,2.75
59,1980,Democrats,Democrats,12.5,Jimmy Carter,Democratic,2.75
60,1980,Democrats,Democrats,12.35,Jimmy Carter,Democratic,2.75
61,1980,Democrats,Democrats,12.31,Jimmy Carter,Democratic,2.75
62,1980,Democrats,Democrats,12.35,Jimmy Carter,Democratic,2.75
63,1980,Democrats,Democrats,12.28,Jimmy Carter,Democratic,2.75
64,1980,Democrats,Democrats,12.27,Jimmy Carter,Democratic,2.75
65,1980,Democrats,Democrats,11.87,Jimmy Carter,Democratic,2.75
66,1980,Democrats,Democrats,11.85,Jimmy Carter,Democratic,2.75
67,1980,Democrats,Democrats,11.79,Jimmy Carter,Democratic,2.75
68,1980,Democrats,Democrats,11.74,Jimmy Carter,Democratic,2.75
69,1980,Democrats,Democrats,11.53,Jimmy Carter,Democratic,2.75
70,1980,Democrats,Democrats,11.5,Jimmy Carter,Democratic,2.75
71,1980,Democrats,Democrats,11.47,Jimmy Carter,Democratic,2.75
72,1980,Democrats,Democrats,10.91,Jimmy Carter,Democratic,2.75
73,1980,Democrats,Democrats,10.99,Jimmy Carter,Democratic,2.75
74,1980,Democrats,Democrats,10.98,Jimmy Carter,Democratic,2.75
75,1980,Democrats,Democrats,10.96,Jimmy Carter,Democratic,2.75
76,1980,Democrats,Democrats,10.94,Jimmy Carter,Democratic,2.75
77,1980,Democrats,Democrats,11.02,Jimmy Carter,Democratic,2.75
78,1980,Democrats,Democrats,11.13,Jimmy Carter,Democratic,2.75
79,1980,Democrats,Democrats,11.18,Jimmy Carter,Democratic,2.75
80,1980,Democrats,Democrats,10.86,Jimmy Carter,Democratic,2.75
81,1980,Democrats,Democrats,10.89,Jimmy Carter,Democratic,2.75
82,1980,Democrats,Democrats,10.89,Jimmy Carter,Democratic,2.75
83,1980,Democrats,Democrats,10.72,Jimmy Carter,Democratic,2.75
84,1980,Democrats,Democrats,10.47,Jimmy Carter,Democratic,2.75
85,1980,Democrats,Democrats,10.35,Jimmy Carter,Democratic,2.75
86,1980,Democrats,Democrats,10.23,Jimmy Carter,Democratic,2.75
87,1980,Democrats,Democrats,10.19,Jimmy Carter,Democratic,2.75
88,1980,Democrats,Democrats,10.34,Jimmy Carter,Democratic,2.75
89,1980,Democrats,Democrats,10.41,Jimmy Carter,Democratic,2.75
90,1980,Democrats,Democrats,10.44,Jimmy Carter,Democratic,2.75
91,1980,Democrats,Democrats,10.29,Jimmy Carter,Democratic,2.75
92,1980,Democrats,Democrats,10.26,Jimmy Carter,Democratic,2.75
93,1980,Democrats,Democrats,10.46,Jimmy Carter,Democratic,2.75
94,1980,Democrats,Democrats,10.53,Jimmy Carter,Democratic,2.75
95,1980,Democrats,Democrats,10.68,Jimmy Carter,Democratic,2.75
96,1980,Democrats,Democrats,10.47,Jimmy Carter,Democratic,2.75
97,1980,Democrats,Democrats,10.31,Jimmy Carter,Democratic,2.75
98,1980,Democrats,Democrats,10.34,Jimmy Carter,Democratic,2.75
99,1980,Democrats,Democrats,10.09,Jimmy Carter,Democratic,2.75
100,1980,Democrats,Democrats,10.1,Jimmy Carter,Democratic,2.75
101,1980,Democrats,Democrats,10.22,Jimmy Carter,Democratic,2.75
102,1980,Democrats,Democrats,10.32,Jimmy Carter,Democratic,2.75
103,1980,Democrats,Democrats,10.37,Jimmy Carter,Democratic,2.75
104,1980,Democrats,Democrats,10.45,Jimmy Carter,Democratic,2.75
105,1980,Democrats,Democrats,10.29,Jimmy Carter,Democratic,2.75
106,1980,Democrats,Democrats,10.18,Jimmy Carter,Democratic,2.75
107,1980,Democrats,Democrats,10.08,Jimmy Carter,Democratic,2.75
108,1980,Democrats,Democrats,9.87,Jimmy Carter,Democratic,2.75
109,1980,Democrats,Democrats,9.75,Jimmy Carter,Democratic,2.75
110,1980,Democrats,Democrats,9.88,Jimmy Carter,Democratic,2.75
111,1980,Democrats,Democrats,9.79,Jimmy Carter,Democratic,2.75
112,1980,Democrats,Democrats,9.6,Jimmy Carter,Democratic,2.75
113,1980,Democrats,Democrats,9.49,Jimmy Carter,Democratic,2.75
114,1980,Democrats,Democrats,9.49,Jimmy Carter,Democratic,2.75
115,1980,Democrats,Democrats,9.52,Jimmy Carter,Democratic,2.75
116,1980,Democrats,Democrats,9.6,Jimmy Carter,Democratic,2.75
117,1980,Democrats,Democrats,9.57,Jimmy Carter,Democratic,2.75
118,1980,Democrats,Democrats,9.5,Jimmy Carter,Democratic,2.75
119,1980,Democrats,Democrats,9.66,Jimmy Carter,Democratic,2.75
120,1980,Democrats,Democrats,9.7,Jimmy Carter,Democratic,2.75
121,1980,Democrats,Democrats,9.79,Jimmy Carter,Democratic,2.75
122,1980,Democrats,Democrats,9.91,Jimmy Carter,Democratic,2.75
123,1980,Democrats,Democrats,9.97,Jimmy Carter,Democratic,2.75
124,1980,Democrats,Democrats,9.99,Jimmy Carter,Democratic,2.75
125,1980,Democrats,Democrats,10.12,Jimmy Carter,Democratic,2.75
126,1980,Democrats,Democrats,10.12,Jimmy Carter,Democratic,2.75
127,1980,Democrats,Democrats,10,Jimmy Carter,Democratic,2.75
128,1980,Democrats,Democrats,10.22,Jimmy Carter,Democratic,2.75
129,1980,Democrats,Democrats,10.06,Jimmy Carter,Democratic,2.75
130,1980,Democrats,Democrats,10.14,Jimmy Carter,Democratic,2.75
131,1980,Democrats,Democrats,10.21,Jimmy Carter,Democratic,2.75
132,1980,Democrats,Democrats,10.3,Jimmy Carter,Democratic,2.75
133,1980,Democrats,Democrats,10.36,Jimmy Carter,Democratic,2.75
134,1980,Democrats,Democrats,10.19,Jimmy Carter,Democratic,2.75
135,1980,Democrats,Democrats,10.05,Jimmy Carter,Democratic,2.75
136,1980,Democrats,Democrats,10.15,Jimmy Carter,Democratic,2.75
137,1980,Democrats,Democrats,10.19,Jimmy Carter,Democratic,2.75
138,1980,Democrats,Democrats,10.11,Jimmy Carter,Democratic,2.75
139,1980,Democrats,Democrats,10.18,Jimmy Carter,Democratic,2.75
140,1980,Democrats,Democrats,10.15,Jimmy Carter,Democratic,2.75
141,1980,Democrats,Democrats,10.24,Jimmy Carter,Democratic,2.75
142,1980,Democrats,Democrats,10.33,Jimmy Carter,Democratic,2.75
143,1980,Democrats,Democrats,10.42,Jimmy Carter,Democratic,2.75
144,1980,Democrats,Democrats,10.4,Jimmy Carter,Democratic,2.75
145,1980,Democrats,Democrats,10.51,Jimmy Carter,Democratic,2.75
146,1980,Democrats,Democrats,10.8,Jimmy Carter,Democratic,2.75
147,1980,Democrats,Democrats,10.76,Jimmy Carter,Democratic,2.75
148,1980,Democrats,Democrats,10.68,Jimmy Carter,Democratic,2.75
149,1980,Democrats,Democrats,10.69,Jimmy Carter,Democratic,2.75
150,1980,Democrats,Democrats,10.73,Jimmy Carter,Democratic,2.75
151,1980,Democrats,Democrats,10.68,Jimmy Carter,Democratic,2.75
152,1980,Democrats,Democrats,10.9,Jimmy Carter,Democratic,2.75
153,1980,Democrats,Democrats,11.05,Jimmy Carter,Democratic,2.75
154,1980,Democrats,Democrats,11.01,Jimmy Carter,Democratic,2.75
155,1980,Democrats,Democrats,10.93,Jimmy Carter,Democratic,2.75
156,1980,Democrats,Democrats,10.9,Jimmy Carter,Democratic,2.75
157,1980,Democrats,Democrats,10.83,Jimmy Carter,Democratic,2.75
158,1980,Democrats,Democrats,11.02,Jimmy Carter,Democratic,2.75
159,1980,Democrats,Democrats,11.16,Jimmy Carter,Democratic,2.75
160,1980,Democrats,Democrats,11.13,Jimmy Carter,Democratic,2.75
161,1980,Democrats,Democrats,11.15,Jimmy Carter,Democratic,2.75
162,1980,Democrats,Democrats,11.01,Jimmy Carter,Democratic,2.75
163,1980,Democrats,Democrats,11.18,Jimmy Carter,Democratic,2.75
164,1980,Democrats,Democrats,11.18,Jimmy Carter,Democratic,2.75
165,1980,Democrats,Democrats,11.33,Jimmy Carter,Democratic,2.75
166,1980,Democrats,Democrats,11.43,Jimmy Carter,Democratic,2.75
167,1980,Democrats,Democrats,11.27,Jimmy Carter,Democratic,2.75
168,1980,Democrats,Democrats,11.08,Jimmy Carter,Democratic,2.75
169,1980,Democrats,Democrats,10.94,Jimmy Carter,Democratic,2.75
170,1980,Democrats,Democrats,11.02,Jimmy Carter,Democratic,2.75
171,1980,Democrats,Democrats,11.06,Jimmy Carter,Democratic,2.75
172,1980,Democrats,Democrats,11.15,Jimmy Carter,Democratic,2.75
173,1980,Democrats,Democrats,11.05,Jimmy Carter,Democratic,2.75
174,1980,Democrats,Democrats,11.02,Jimmy Carter,Democratic,2.75
175,1980,Democrats,Democrats,11.15,Jimmy Carter,Democratic,2.75
176,1980,Democrats,Democrats,11.18,Jimmy Carter,Democratic,2.75
177,1980,Democrats,Democrats,11.38,Jimmy Carter,Democratic,2.75
178,1980,Democrats,Democrats,11.33,Jimmy Carter,Democratic,2.75
179,1980,Democrats,Democrats,11.41,Jimmy Carter,Democratic,2.75
180,1980,Democrats,Democrats,11.35,Jimmy Carter,Democratic,2.75
181,1980,Democrats,Democrats,11.25,Jimmy Carter,Democratic,2.75
182,1980,Democrats,Democrats,11.6,Jimmy Carter,Democratic,2.75
183,1980,Democrats,Democrats,11.53,Jimmy Carter,Democratic,2.75
184,1980,Democrats,Democrats,11.53,Jimmy Carter,Democratic,2.75
185,1980,Democrats,Democrats,11.66,Jimmy Carter,Democratic,2.75
186,1980,Democrats,Democrats,11.81,Jimmy Carter,Democratic,2.75
187,1980,Democrats,Democrats,11.93,Jimmy Carter,Democratic,2.75
188,1980,Democrats,Democrats,11.7,Jimmy Carter,Democratic,2.75
189,1980,Democrats,Democrats,11.69,Jimmy Carter,Democratic,2.75
190,1980,Democrats,Democrats,11.66,Jimmy Carter,Democratic,2.75
191,1980,Democrats,Democrats,11.33,Jimmy Carter,Democratic,2.75
192,1980,Democrats,Democrats,11.26,Jimmy Carter,Democratic,2.75
193,1980,Democrats,Democrats,11.3,Jimmy Carter,Democratic,2.75
194,1980,Democrats,Democrats,11.38,Jimmy Carter,Democratic,2.75
195,1980,Democrats,Democrats,11.21,Jimmy Carter,Democratic,2.75
196,1980,Democrats,Democrats,11.26,Jimmy Carter,Democratic,2.75
197,1980,Democrats,Democrats,11.16,Jimmy Carter,Democratic,2.75
198,1980,Democrats,Democrats,11.11,Jimmy Carter,Democratic,2.75
199,1980,Democrats,Democrats,11.27,Jimmy Carter,Democratic,2.75
200,1980,Democrats,Democrats,11.44,Jimmy Carter,Democratic,2.75
201,1980,Democrats,Democrats,11.44,Jimmy Carter,Democratic,2.75
202,1980,Democrats,Democrats,11.53,Jimmy Carter,Democratic,2.75
203,1980,Democrats,Democrats,11.74,Jimmy Carter,Democratic,2.75
204,1980,Democrats,Democrats,11.68,Jimmy Carter,Democratic,2.75
205,1980,Democrats,Democrats,11.61,Jimmy Carter,Democratic,2.75
206,1980,Democrats,Democrats,11.96,Jimmy Carter,Democratic,2.75
207,1980,Democrats,Democrats,12.14,Jimmy Carter,Democratic,2.75
208,1980,Democrats,Democrats,12.21,Jimmy Carter,Democratic,2.75
209,1980,Democrats,Democrats,12.28,Jimmy Carter,Democratic,2.75
210,1980,Democrats,Democrats,12.23,Jimmy Carter,Democratic,2.75
211,1980,Democrats,Democrats,12.22,Jimmy Carter,Democratic,2.75
212,1980,Democrats,Democrats,12.36,Jimmy Carter,Democratic,2.75
213,1980,Democrats,Democrats,12.59,Jimmy Carter,Democratic,2.75
214,1980,Democrats,Democrats,12.59,Jimmy Carter,Democratic,2.75
215,1980,Democrats,Democrats,12.71,Jimmy Carter,Democratic,2.75
216,1980,Democrats,Democrats,12.26,Jimmy Carter,Democratic,2.75
217,1980,Democrats,Democrats,12.23,Jimmy Carter,Democratic,2.75
218,1980,Democrats,Democrats,12.45,Jimmy Carter,Democratic,2.75
219,1980,Democrats,Democrats,12.6,Jimmy Carter,Democratic,2.75
220,1980,Democrats,Democrats,12.29,Jimmy Carter,Democratic,2.75
221,1980,Democrats,Democrats,12.19,Jimmy Carter,Democratic,2.75
222,1980,Democrats,Democrats,12.22,Jimmy Carter,Democratic,2.75
223,1980,Democrats,Democrats,12.37,Jimmy Carter,Democratic,2.75
224,1980,Democrats,Democrats,12.31,Jimmy Carter,Democratic,2.75
225,1980,Democrats,Democrats,12.3,Jimmy Carter,Democratic,2.75
226,1980,Democrats,Democrats,12.27,Jimmy Carter,Democratic,2.75
227,1980,Democrats,Democrats,12.32,Jimmy Carter,Democratic,2.75
228,1980,Democrats,Democrats,12.51,Jimmy Carter,Democratic,2.75
229,1980,Democrats,Democrats,12.5,Jimmy Carter,Democratic,2.75
230,1980,Democrats,Democrats,12.41,Jimmy Carter,Democratic,2.75
231,1980,Democrats,Democrats,12.43,Jimmy Carter,Democratic,2.75
232,1980,Democrats,Democrats,12.33,Jimmy Carter,Democratic,2.75
233,1980,Democrats,Democrats,12.42,Jimmy Carter,Democratic,2.75
234,1980,Democrats,Democrats,12.68,Jimmy Carter,Democratic,2.75
235,1980,Democrats,Democrats,12.8,Jimmy Carter,Democratic,2.75
236,1980,Democrats,Democrats,13.17,Jimmy Carter,Democratic,2.75
237,1980,Democrats,Democrats,12.82,Jimmy Carter,Democratic,2.75
238,1980,Democrats,Democrats,12.85,Jimmy Carter,Democratic,2.75
239,1980,Democrats,Democrats,12.95,Jimmy Carter,Democratic,2.75
240,1980,Democrats,Democrats,12.74,Jimmy Carter,Democratic,2.75
241,1980,Democrats,Democrats,12.62,Jimmy Carter,Democratic,2.75
242,1980,Democrats,Democrats,12.22,Jimmy Carter,Democratic,2.75
243,1980,Democrats,Democrats,11.75,Jimmy Carter,Democratic,2.75
244,1980,Democrats,Democrats,11.93,Jimmy Carter,Democratic,2.75
245,1980,Democrats,Democrats,11.95,Jimmy Carter,Democratic,2.75
246,1980,Democrats,Democrats,11.84,Jimmy Carter,Democratic,2.75
247,1980,Democrats,Democrats,11.84,Jimmy Carter,Democratic,2.75
248,1980,Democrats,Democrats,11.96,Jimmy Carter,Democratic,2.75
249,1980,Democrats,Democrats,11.98,Jimmy Carter,Democratic,2.75
250,1981,Republicans,Democrats,12.01,Ronald Reagan,Republican,2.76
251,1981,Republicans,Democrats,11.67,Ronald Reagan,Republican,2.76
252,1981,Republicans,Democrats,11.67,Ronald Reagan,Republican,2.76
253,1981,Republicans,Democrats,11.89,Ronald Reagan,Republican,2.76
254,1981,Republicans,Democrats,11.91,Ronald Reagan,Republican,2.76
255,1981,Republicans,Democrats,12.13,Ronald Reagan,Republican,2.76
256,1981,Republicans,Democrats,12.08,Ronald Reagan,Republican,2.76
257,1981,Republicans,Democrats,12.08,Ronald Reagan,Republican,2.76
258,1981,Republicans,Democrats,12.07,Ronald Reagan,Republican,2.76
259,1981,Republicans,Democrats,12.25,Ronald Reagan,Republican,2.76
260,1981,Republicans,Democrats,12.13,Ronald Reagan,Republican,2.76
261,1981,Republicans,Democrats,12.25,Ronald Reagan,Republican,2.76
262,1981,Republicans,Democrats,12.11,Ronald Reagan,Republican,2.76
263,1981,Republicans,Democrats,12.33,Ronald Reagan,Republican,2.76
264,1981,Republicans,Democrats,12.46,Ronald Reagan,Republican,2.76
265,1981,Republicans,Democrats,12.38,Ronald Reagan,Republican,2.76
266,1981,Republicans,Democrats,12.28,Ronald Reagan,Republican,2.76
267,1981,Republicans,Democrats,12.31,Ronald Reagan,Republican,2.76
268,1981,Republicans,Democrats,12.33,Ronald Reagan,Republican,2.76
269,1981,Republicans,Democrats,12.38,Ronald Reagan,Republican,2.76
270,1981,Republicans,Democrats,12.28,Ronald Reagan,Republican,2.76
271,1981,Republicans,Democrats,12.45,Ronald Reagan,Republican,2.76
272,1981,Republicans,Democrats,12.61,Ronald Reagan,Republican,2.76
273,1981,Republicans,Democrats,12.49,Ronald Reagan,Republican,2.76
274,1981,Republicans,Democrats,12.7,Ronald Reagan,Republican,2.76
275,1981,Republicans,Democrats,12.73,Ronald Reagan,Republican,2.76
276,1981,Republicans,Democrats,12.81,Ronald Reagan,Republican,2.76
277,1981,Republicans,Democrats,12.92,Ronald Reagan,Republican,2.76
278,1981,Republicans,Democrats,13.01,Ronald Reagan,Republican,2.76
279,1981,Republicans,Democrats,13.2,Ronald Reagan,Republican,2.76
280,1981,Republicans,Democrats,12.93,Ronald Reagan,Republican,2.76
281,1981,Republicans,Democrats,12.88,Ronald Reagan,Republican,2.76
282,1981,Republicans,Democrats,12.71,Ronald Reagan,Republican,2.76
283,1981,Republicans,Democrats,12.54,Ronald Reagan,Republican,2.76
284,1981,Republicans,Democrats,12.81,Ronald Reagan,Republican,2.76
285,1981,Republicans,Democrats,12.81,Ronald Reagan,Republican,2.76
286,1981,Republicans,Democrats,12.89,Ronald Reagan,Republican,2.76
287,1981,Republicans,Democrats,12.98,Ronald Reagan,Republican,2.76
288,1981,Republicans,Democrats,12.97,Ronald Reagan,Republican,2.76
289,1981,Republicans,Democrats,13.19,Ronald Reagan,Republican,2.76
290,1981,Republicans,Democrats,13,Ronald Reagan,Republican,2.76
291,1981,Republicans,Democrats,13.03,Ronald Reagan,Republican,2.76
292,1981,Republicans,Democrats,13,Ronald Reagan,Republican,2.76
293,1981,Republicans,Democrats,12.73,Ronald Reagan,Republican,2.76
294,1981,Republicans,Democrats,12.64,Ronald Reagan,Republican,2.76
295,1981,Republicans,Democrats,12.69,Ronald Reagan,Republican,2.76
296,1981,Republicans,Democrats,12.74,Ronald Reagan,Republican,2.76
297,1981,Republicans,Democrats,12.59,Ronald Reagan,Republican,2.76
298,1981,Republicans,Democrats,12.42,Ronald Reagan,Republican,2.76
299,1981,Republicans,Democrats,12.41,Ronald Reagan,Republican,2.76
300,1981,Republicans,Democrats,12.25,Ronald Reagan,Republican,2.76
301,1981,Republicans,Democrats,12.16,Ronald Reagan,Republican,2.76
302,1981,Republicans,Democrats,12.28,Ronald Reagan,Republican,2.76
303,1981,Republicans,Democrats,12.34,Ronald Reagan,Republican,2.76
304,1981,Republicans,Democrats,12.71,Ronald Reagan,Republican,2.76
305,1981,Republicans,Democrats,12.84,Ronald Reagan,Republican,2.76
306,1981,Republicans,Democrats,12.77,Ronald Reagan,Republican,2.76
307,1981,Republicans,Democrats,12.92,Ronald Reagan,Republican,2.76
308,1981,Republicans,Democrats,12.93,Ronald Reagan,Republican,2.76
309,1981,Republicans,Democrats,12.8,Ronald Reagan,Republican,2.76
310,1981,Republicans,Democrats,12.65,Ronald Reagan,Republican,2.76
311,1981,Republicans,Democrats,12.65,Ronald Reagan,Republican,2.76
312,1981,Republicans,Democrats,12.8,Ronald Reagan,Republican,2.76
313,1981,Republicans,Democrats,12.94,Ronald Reagan,Republican,2.76
314,1981,Republicans,Democrats,13.28,Ronald Reagan,Republican,2.76
315,1981,Republicans,Democrats,12.99,Ronald Reagan,Republican,2.76
316,1981,Republicans,Democrats,13.15,Ronald Reagan,Republican,2.76
317,1981,Republicans,Democrats,13.02,Ronald Reagan,Republican,2.76
318,1981,Republicans,Democrats,13.15,Ronald Reagan,Republican,2.76
319,1981,Republicans,Democrats,13.23,Ronald Reagan,Republican,2.76
320,1981,Republicans,Democrats,13.13,Ronald Reagan,Republican,2.76
321,1981,Republicans,Democrats,13.29,Ronald Reagan,Republican,2.76
322,1981,Republicans,Democrats,13.32,Ronald Reagan,Republican,2.76
323,1981,Republicans,Democrats,13.17,Ronald Reagan,Republican,2.76
324,1981,Republicans,Democrats,13.2,Ronald Reagan,Republican,2.76
325,1981,Republicans,Democrats,13.25,Ronald Reagan,Republican,2.76
326,1981,Republicans,Democrats,13.28,Ronald Reagan,Republican,2.76
327,1981,Republicans,Democrats,13.35,Ronald Reagan,Republican,2.76
328,1981,Republicans,Democrats,13.38,Ronald Reagan,Republican,2.76
329,1981,Republicans,Democrats,13.39,Ronald Reagan,Republican,2.76
330,1981,Republicans,Democrats,13.5,Ronald Reagan,Republican,2.76
331,1981,Republicans,Democrats,13.65,Ronald Reagan,Republican,2.76
332,1981,Republicans,Democrats,13.59,Ronald Reagan,Republican,2.76
333,1981,Republicans,Democrats,13.98,Ronald Reagan,Republican,2.76
334,1981,Republicans,Democrats,14.11,Ronald Reagan,Republican,2.76
335,1981,Republicans,Democrats,13.97,Ronald Reagan,Republican,2.76
336,1981,Republicans,Democrats,13.84,Ronald Reagan,Republican,2.76
337,1981,Republicans,Democrats,13.76,Ronald Reagan,Republican,2.76
338,1981,Republicans,Democrats,13.89,Ronald Reagan,Republican,2.76
339,1981,Republicans,Democrats,13.95,Ronald Reagan,Republican,2.76
340,1981,Republicans,Democrats,13.95,Ronald Reagan,Republican,2.76
341,1981,Republicans,Democrats,13.66,Ronald Reagan,Republican,2.76
342,1981,Republicans,Democrats,13.58,Ronald Reagan,Republican,2.76
343,1981,Republicans,Democrats,13.31,Ronald Reagan,Republican,2.76
344,1981,Republicans,Democrats,13.47,Ronald Reagan,Republican,2.76
345,1981,Republicans,Democrats,13.45,Ronald Reagan,Republican,2.76
346,1981,Republicans,Democrats,13.53,Ronald Reagan,Republican,2.76
347,1981,Republicans,Democrats,13.36,Ronald Reagan,Republican,2.76
348,1981,Republicans,Democrats,13.22,Ronald Reagan,Republican,2.76
349,1981,Republicans,Democrats,13.27,Ronald Reagan,Republican,2.76
350,1981,Republicans,Democrats,13.1,Ronald Reagan,Republican,2.76
351,1981,Republicans,Democrats,13.06,Ronald Reagan,Republican,2.76
352,1981,Republicans,Democrats,13.06,Ronald Reagan,Republican,2.76
353,1981,Republicans,Democrats,13.13,Ronald Reagan,Republican,2.76
354,1981,Republicans,Democrats,13.08,Ronald Reagan,Republican,2.76
355,1981,Republicans,Democrats,13.04,Ronald Reagan,Republican,2.76
356,1981,Republicans,Democrats,13.11,Ronald Reagan,Republican,2.76
357,1981,Republicans,Democrats,12.87,Ronald Reagan,Republican,2.76
358,1981,Republicans,Democrats,12.89,Ronald Reagan,Republican,2.76
359,1981,Republicans,Democrats,12.82,Ronald Reagan,Republican,2.76
360,1981,Republicans,Democrats,12.84,Ronald Reagan,Republican,2.76
361,1981,Republicans,Democrats,12.84,Ronald Reagan,Republican,2.76
362,1981,Republicans,Democrats,12.61,Ronald Reagan,Republican,2.76
363,1981,Republicans,Democrats,12.59,Ronald Reagan,Republican,2.76
364,1981,Republicans,Democrats,12.73,Ronald Reagan,Republican,2.76
365,1981,Republicans,Democrats,12.98,Ronald Reagan,Republican,2.76
366,1981,Republicans,Democrats,12.9,Ronald Reagan,Republican,2.76
367,1981,Republicans,Democrats,12.86,Ronald Reagan,Republican,2.76
368,1981,Republicans,Democrats,12.99,Ronald Reagan,Republican,2.76
369,1981,Republicans,Democrats,13.1,Ronald Reagan,Republican,2.76
370,1981,Republicans,Democrats,13.14,Ronald Reagan,Republican,2.76
371,1981,Republicans,Democrats,13.14,Ronald Reagan,Republican,2.76
372,1981,Republicans,Democrats,13.11,Ronald Reagan,Republican,2.76
373,1981,Republicans,Democrats,13.3,Ronald Reagan,Republican,2.76
374,1981,Republicans,Democrats,13.47,Ronald Reagan,Republican,2.76
375,1981,Republicans,Democrats,13.35,Ronald Reagan,Republican,2.76
376,1981,Republicans,Democrats,13.19,Ronald Reagan,Republican,2.76
377,1981,Republicans,Democrats,13.42,Ronald Reagan,Republican,2.76
378,1981,Republicans,Democrats,13.43,Ronald Reagan,Republican,2.76
379,1981,Republicans,Democrats,13.47,Ronald Reagan,Republican,2.76
