,year,Senate,HOR,value,president,party,All_beverages_in_Gallons,AvgCost,RealGDP
42,1980,Democrats,Democrats,12.35,Jimmy Carter,Democratic,2.75,0.509,1.160423198
43,1980,Democrats,Democrats,12.4,Jimmy Carter,Democratic,2.75,0.509,1.160423198
44,1980,Democrats,Democrats,12.64,Jimmy Carter,Democratic,2.75,0.509,1.160423198
45,1980,Democrats,Democrats,12.5,Jimmy Carter,Democratic,2.75,0.509,1.160423198
46,1980,Democrats,Democrats,12.25,Jimmy Carter,Democratic,2.75,0.509,1.160423198
47,1980,Democrats,Democrats,12.12,Jimmy Carter,Democratic,2.75,0.509,1.160423198
48,1980,Democrats,Democrats,12.39,Jimmy Carter,Democratic,2.75,0.509,1.160423198
49,1980,Democrats,Democrats,12.19,Jimmy Carter,Democratic,2.75,0.509,1.160423198
50,1980,Democrats,Democrats,12.21,Jimmy Carter,Democratic,2.75,0.509,1.160423198
51,1980,Democrats,Democrats,12.2,Jimmy Carter,Democratic,2.75,0.509,1.160423198
52,1980,Democrats,Democrats,12,Jimmy Carter,Democratic,2.75,0.509,1.160423198
53,1980,Democrats,Democrats,11.97,Jimmy Carter,Democratic,2.75,0.509,1.160423198
54,1980,Democrats,Democrats,12.22,Jimmy Carter,Democratic,2.75,0.509,1.160423198
55,1980,Democrats,Democrats,12.28,Jimmy Carter,Democratic,2.75,0.509,1.160423198
56,1980,Democrats,Democrats,12.69,Jimmy Carter,Democratic,2.75,0.509,1.160423198
57,1980,Democrats,Democrats,12.67,Jimmy Carter,Democratic,2.75,0.509,1.160423198
58,1980,Democrats,Democrats,12.56,Jimmy Carter,Democratic,2.75,0.509,1.160423198
59,1980,Democrats,Democrats,12.5,Jimmy Carter,Democratic,2.75,0.509,1.160423198
60,1980,Democrats,Democrats,12.35,Jimmy Carter,Democratic,2.75,0.509,1.160423198
61,1980,Democrats,Democrats,12.31,Jimmy Carter,Democratic,2.75,0.509,1.160423198
62,1980,Democrats,Democrats,12.35,Jimmy Carter,Democratic,2.75,0.509,1.160423198
63,1980,Democrats,Democrats,12.28,Jimmy Carter,Democratic,2.75,0.509,1.160423198
64,1980,Democrats,Democrats,12.27,Jimmy Carter,Democratic,2.75,0.509,1.160423198
65,1980,Democrats,Democrats,11.87,Jimmy Carter,Democratic,2.75,0.509,1.160423198
66,1980,Democrats,Democrats,11.85,Jimmy Carter,Democratic,2.75,0.509,1.160423198
67,1980,Democrats,Democrats,11.79,Jimmy Carter,Democratic,2.75,0.509,1.160423198
68,1980,Democrats,Democrats,11.74,Jimmy Carter,Democratic,2.75,0.509,1.160423198
69,1980,Democrats,Democrats,11.53,Jimmy Carter,Democratic,2.75,0.509,1.160423198
70,1980,Democrats,Democrats,11.5,Jimmy Carter,Democratic,2.75,0.509,1.160423198
71,1980,Democrats,Democrats,11.47,Jimmy Carter,Democratic,2.75,0.509,1.160423198
72,1980,Democrats,Democrats,10.91,Jimmy Carter,Democratic,2.75,0.509,1.160423198
73,1980,Democrats,Democrats,10.99,Jimmy Carter,Democratic,2.75,0.509,1.160423198
74,1980,Democrats,Democrats,10.98,Jimmy Carter,Democratic,2.75,0.509,1.160423198
75,1980,Democrats,Democrats,10.96,Jimmy Carter,Democratic,2.75,0.509,1.160423198
76,1980,Democrats,Democrats,10.94,Jimmy Carter,Democratic,2.75,0.509,1.160423198
77,1980,Democrats,Democrats,11.02,Jimmy Carter,Democratic,2.75,0.509,1.160423198
78,1980,Democrats,Democrats,11.13,Jimmy Carter,Democratic,2.75,0.509,1.160423198
79,1980,Democrats,Democrats,11.18,Jimmy Carter,Democratic,2.75,0.509,1.160423198
80,1980,Democrats,Democrats,10.86,Jimmy Carter,Democratic,2.75,0.509,1.160423198
81,1980,Democrats,Democrats,10.89,Jimmy Carter,Democratic,2.75,0.509,1.160423198
82,1980,Democrats,Democrats,10.89,Jimmy Carter,Democratic,2.75,0.509,1.160423198
83,1980,Democrats,Democrats,10.72,Jimmy Carter,Democratic,2.75,0.509,1.160423198
84,1980,Democrats,Democrats,10.47,Jimmy Carter,Democratic,2.75,0.509,1.160423198
85,1980,Democrats,Democrats,10.35,Jimmy Carter,Democratic,2.75,0.509,1.160423198
86,1980,Democrats,Democrats,10.23,Jimmy Carter,Democratic,2.75,0.509,1.160423198
87,1980,Democrats,Democrats,10.19,Jimmy Carter,Democratic,2.75,0.509,1.160423198
88,1980,Democrats,Democrats,10.34,Jimmy Carter,Democratic,2.75,0.509,1.160423198
89,1980,Democrats,Democrats,10.41,Jimmy Carter,Democratic,2.75,0.509,1.160423198
90,1980,Democrats,Democrats,10.44,Jimmy Carter,Democratic,2.75,0.509,1.160423198
91,1980,Democrats,Democrats,10.29,Jimmy Carter,Democratic,2.75,0.509,1.160423198
92,1980,Democrats,Democrats,10.26,Jimmy Carter,Democratic,2.75,0.509,1.160423198
93,1980,Democrats,Democrats,10.46,Jimmy Carter,Democratic,2.75,0.509,1.160423198
94,1980,Democrats,Democrats,10.53,Jimmy Carter,Democratic,2.75,0.509,1.160423198
95,1980,Democrats,Democrats,10.68,Jimmy Carter,Democratic,2.75,0.509,1.160423198
96,1980,Democrats,Democrats,10.47,Jimmy Carter,Democratic,2.75,0.509,1.160423198
97,1980,Democrats,Democrats,10.31,Jimmy Carter,Democratic,2.75,0.509,1.160423198
98,1980,Democrats,Democrats,10.34,Jimmy Carter,Democratic,2.75,0.509,1.160423198
99,1980,Democrats,Democrats,10.09,Jimmy Carter,Democratic,2.75,0.509,1.160423198
100,1980,Democrats,Democrats,10.1,Jimmy Carter,Democratic,2.75,0.509,1.160423198
101,1980,Democrats,Democrats,10.22,Jimmy Carter,Democratic,2.75,0.509,1.160423198
102,1980,Democrats,Democrats,10.32,Jimmy Carter,Democratic,2.75,0.509,1.160423198
103,1980,Democrats,Democrats,10.37,Jimmy Carter,Democratic,2.75,0.509,1.160423198
104,1980,Democrats,Democrats,10.45,Jimmy Carter,Democratic,2.75,0.509,1.160423198
105,1980,Democrats,Democrats,10.29,Jimmy Carter,Democratic,2.75,0.509,1.160423198
106,1980,Democrats,Democrats,10.18,Jimmy Carter,Democratic,2.75,0.509,1.160423198
107,1980,Democrats,Democrats,10.08,Jimmy Carter,Democratic,2.75,0.509,1.160423198
108,1980,Democrats,Democrats,9.87,Jimmy Carter,Democratic,2.75,0.509,1.160423198
109,1980,Democrats,Democrats,9.75,Jimmy Carter,Democratic,2.75,0.509,1.160423198
110,1980,Democrats,Democrats,9.88,Jimmy Carter,Democratic,2.75,0.509,1.160423198
111,1980,Democrats,Democrats,9.79,Jimmy Carter,Democratic,2.75,0.509,1.160423198
112,1980,Democrats,Democrats,9.6,Jimmy Carter,Democratic,2.75,0.509,1.160423198
113,1980,Democrats,Democrats,9.49,Jimmy Carter,Democratic,2.75,0.509,1.160423198
114,1980,Democrats,Democrats,9.49,Jimmy Carter,Democratic,2.75,0.509,1.160423198
115,1980,Democrats,Democrats,9.52,Jimmy Carter,Democratic,2.75,0.509,1.160423198
116,1980,Democrats,Democrats,9.6,Jimmy Carter,Democratic,2.75,0.509,1.160423198
117,1980,Democrats,Democrats,9.57,Jimmy Carter,Democratic,2.75,0.509,1.160423198
118,1980,Democrats,Democrats,9.5,Jimmy Carter,Democratic,2.75,0.509,1.160423198
119,1980,Democrats,Democrats,9.66,Jimmy Carter,Democratic,2.75,0.509,1.160423198
120,1980,Democrats,Democrats,9.7,Jimmy Carter,Democratic,2.75,0.509,1.160423198
121,1980,Democrats,Democrats,9.79,Jimmy Carter,Democratic,2.75,0.509,1.160423198
122,1980,Democrats,Democrats,9.91,Jimmy Carter,Democratic,2.75,0.509,1.160423198
123,1980,Democrats,Democrats,9.97,Jimmy Carter,Democratic,2.75,0.509,1.160423198
124,1980,Democrats,Democrats,9.99,Jimmy Carter,Democratic,2.75,0.509,1.160423198
125,1980,Democrats,Democrats,10.12,Jimmy Carter,Democratic,2.75,0.509,1.160423198
126,1980,Democrats,Democrats,10.12,Jimmy Carter,Democratic,2.75,0.509,1.160423198
127,1980,Democrats,Democrats,10,Jimmy Carter,Democratic,2.75,0.509,1.160423198
128,1980,Democrats,Democrats,10.22,Jimmy Carter,Democratic,2.75,0.509,1.160423198
129,1980,Democrats,Democrats,10.06,Jimmy Carter,Democratic,2.75,0.509,1.160423198
130,1980,Democrats,Democrats,10.14,Jimmy Carter,Democratic,2.75,0.509,1.160423198
131,1980,Democrats,Democrats,10.21,Jimmy Carter,Democratic,2.75,0.509,1.160423198
132,1980,Democrats,Democrats,10.3,Jimmy Carter,Democratic,2.75,0.509,1.160423198
133,1980,Democrats,Democrats,10.36,Jimmy Carter,Democratic,2.75,0.509,1.160423198
134,1980,Democrats,Democrats,10.19,Jimmy Carter,Democratic,2.75,0.509,1.160423198
135,1980,Democrats,Democrats,10.05,Jimmy Carter,Democratic,2.75,0.509,1.160423198
136,1980,Democrats,Democrats,10.15,Jimmy Carter,Democratic,2.75,0.509,1.160423198
137,1980,Democrats,Democrats,10.19,Jimmy Carter,Democratic,2.75,0.509,1.160423198
138,1980,Democrats,Democrats,10.11,Jimmy Carter,Democratic,2.75,0.509,1.160423198
139,1980,Democrats,Democrats,10.18,Jimmy Carter,Democratic,2.75,0.509,1.160423198
140,1980,Democrats,Democrats,10.15,Jimmy Carter,Democratic,2.75,0.509,1.160423198
141,1980,Democrats,Democrats,10.24,Jimmy Carter,Democratic,2.75,0.509,1.160423198
142,1980,Democrats,Democrats,10.33,Jimmy Carter,Democratic,2.75,0.509,1.160423198
143,1980,Democrats,Democrats,10.42,Jimmy Carter,Democratic,2.75,0.509,1.160423198
144,1980,Democrats,Democrats,10.4,Jimmy Carter,Democratic,2.75,0.509,1.160423198
145,1980,Democrats,Democrats,10.51,Jimmy Carter,Democratic,2.75,0.509,1.160423198
146,1980,Democrats,Democrats,10.8,Jimmy Carter,Democratic,2.75,0.509,1.160423198
147,1980,Democrats,Democrats,10.76,Jimmy Carter,Democratic,2.75,0.509,1.160423198
148,1980,Democrats,Democrats,10.68,Jimmy Carter,Democratic,2.75,0.509,1.160423198
149,1980,Democrats,Democrats,10.69,Jimmy Carter,Democratic,2.75,0.509,1.160423198
150,1980,Democrats,Democrats,10.73,Jimmy Carter,Democratic,2.75,0.509,1.160423198
151,1980,Democrats,Democrats,10.68,Jimmy Carter,Democratic,2.75,0.509,1.160423198
152,1980,Democrats,Democrats,10.9,Jimmy Carter,Democratic,2.75,0.509,1.160423198
153,1980,Democrats,Democrats,11.05,Jimmy Carter,Democratic,2.75,0.509,1.160423198
154,1980,Democrats,Democrats,11.01,Jimmy Carter,Democratic,2.75,0.509,1.160423198
155,1980,Democrats,Democrats,10.93,Jimmy Carter,Democratic,2.75,0.509,1.160423198
156,1980,Democrats,Democrats,10.9,Jimmy Carter,Democratic,2.75,0.509,1.160423198
157,1980,Democrats,Democrats,10.83,Jimmy Carter,Democratic,2.75,0.509,1.160423198
158,1980,Democrats,Democrats,11.02,Jimmy Carter,Democratic,2.75,0.509,1.160423198
159,1980,Democrats,Democrats,11.16,Jimmy Carter,Democratic,2.75,0.509,1.160423198
160,1980,Democrats,Democrats,11.13,Jimmy Carter,Democratic,2.75,0.509,1.160423198
161,1980,Democrats,Democrats,11.15,Jimmy Carter,Democratic,2.75,0.509,1.160423198
162,1980,Democrats,Democrats,11.01,Jimmy Carter,Democratic,2.75,0.509,1.160423198
163,1980,Democrats,Democrats,11.18,Jimmy Carter,Democratic,2.75,0.509,1.160423198
164,1980,Democrats,Democrats,11.18,Jimmy Carter,Democratic,2.75,0.509,1.160423198
165,1980,Democrats,Democrats,11.33,Jimmy Carter,Democratic,2.75,0.509,1.160423198
166,1980,Democrats,Democrats,11.43,Jimmy Carter,Democratic,2.75,0.509,1.160423198
167,1980,Democrats,Democrats,11.27,Jimmy Carter,Democratic,2.75,0.509,1.160423198
168,1980,Democrats,Democrats,11.08,Jimmy Carter,Democratic,2.75,0.509,1.160423198
169,1980,Democrats,Democrats,10.94,Jimmy Carter,Democratic,2.75,0.509,1.160423198
170,1980,Democrats,Democrats,11.02,Jimmy Carter,Democratic,2.75,0.509,1.160423198
171,1980,Democrats,Democrats,11.06,Jimmy Carter,Democratic,2.75,0.509,1.160423198
172,1980,Democrats,Democrats,11.15,Jimmy Carter,Democratic,2.75,0.509,1.160423198
173,1980,Democrats,Democrats,11.05,Jimmy Carter,Democratic,2.75,0.509,1.160423198
174,1980,Democrats,Democrats,11.02,Jimmy Carter,Democratic,2.75,0.509,1.160423198
175,1980,Democrats,Democrats,11.15,Jimmy Carter,Democratic,2.75,0.509,1.160423198
176,1980,Democrats,Democrats,11.18,Jimmy Carter,Democratic,2.75,0.509,1.160423198
177,1980,Democrats,Democrats,11.38,Jimmy Carter,Democratic,2.75,0.509,1.160423198
178,1980,Democrats,Democrats,11.33,Jimmy Carter,Democratic,2.75,0.509,1.160423198
179,1980,Democrats,Democrats,11.41,Jimmy Carter,Democratic,2.75,0.509,1.160423198
180,1980,Democrats,Democrats,11.35,Jimmy Carter,Democratic,2.75,0.509,1.160423198
181,1980,Democrats,Democrats,11.25,Jimmy Carter,Democratic,2.75,0.509,1.160423198
182,1980,Democrats,Democrats,11.6,Jimmy Carter,Democratic,2.75,0.509,1.160423198
183,1980,Democrats,Democrats,11.53,Jimmy Carter,Democratic,2.75,0.509,1.160423198
184,1980,Democrats,Democrats,11.53,Jimmy Carter,Democratic,2.75,0.509,1.160423198
185,1980,Democrats,Democrats,11.66,Jimmy Carter,Democratic,2.75,0.509,1.160423198
186,1980,Democrats,Democrats,11.81,Jimmy Carter,Democratic,2.75,0.509,1.160423198
187,1980,Democrats,Democrats,11.93,Jimmy Carter,Democratic,2.75,0.509,1.160423198
188,1980,Democrats,Democrats,11.7,Jimmy Carter,Democratic,2.75,0.509,1.160423198
189,1980,Democrats,Democrats,11.69,Jimmy Carter,Democratic,2.75,0.509,1.160423198
190,1980,Democrats,Democrats,11.66,Jimmy Carter,Democratic,2.75,0.509,1.160423198
191,1980,Democrats,Democrats,11.33,Jimmy Carter,Democratic,2.75,0.509,1.160423198
192,1980,Democrats,Democrats,11.26,Jimmy Carter,Democratic,2.75,0.509,1.160423198
193,1980,Democrats,Democrats,11.3,Jimmy Carter,Democratic,2.75,0.509,1.160423198
194,1980,Democrats,Democrats,11.38,Jimmy Carter,Democratic,2.75,0.509,1.160423198
195,1980,Democrats,Democrats,11.21,Jimmy Carter,Democratic,2.75,0.509,1.160423198
196,1980,Democrats,Democrats,11.26,Jimmy Carter,Democratic,2.75,0.509,1.160423198
197,1980,Democrats,Democrats,11.16,Jimmy Carter,Democratic,2.75,0.509,1.160423198
198,1980,Democrats,Democrats,11.11,Jimmy Carter,Democratic,2.75,0.509,1.160423198
199,1980,Democrats,Democrats,11.27,Jimmy Carter,Democratic,2.75,0.509,1.160423198
200,1980,Democrats,Democrats,11.44,Jimmy Carter,Democratic,2.75,0.509,1.160423198
201,1980,Democrats,Democrats,11.44,Jimmy Carter,Democratic,2.75,0.509,1.160423198
202,1980,Democrats,Democrats,11.53,Jimmy Carter,Democratic,2.75,0.509,1.160423198
203,1980,Democrats,Democrats,11.74,Jimmy Carter,Democratic,2.75,0.509,1.160423198
204,1980,Democrats,Democrats,11.68,Jimmy Carter,Democratic,2.75,0.509,1.160423198
205,1980,Democrats,Democrats,11.61,Jimmy Carter,Democratic,2.75,0.509,1.160423198
206,1980,Democrats,Democrats,11.96,Jimmy Carter,Democratic,2.75,0.509,1.160423198
207,1980,Democrats,Democrats,12.14,Jimmy Carter,Democratic,2.75,0.509,1.160423198
208,1980,Democrats,Democrats,12.21,Jimmy Carter,Democratic,2.75,0.509,1.160423198
209,1980,Democrats,Democrats,12.28,Jimmy Carter,Democratic,2.75,0.509,1.160423198
210,1980,Democrats,Democrats,12.23,Jimmy Carter,Democratic,2.75,0.509,1.160423198
211,1980,Democrats,Democrats,12.22,Jimmy Carter,Democratic,2.75,0.509,1.160423198
212,1980,Democrats,Democrats,12.36,Jimmy Carter,Democratic,2.75,0.509,1.160423198
213,1980,Democrats,Democrats,12.59,Jimmy Carter,Democratic,2.75,0.509,1.160423198
214,1980,Democrats,Democrats,12.59,Jimmy Carter,Democratic,2.75,0.509,1.160423198
215,1980,Democrats,Democrats,12.71,Jimmy Carter,Democratic,2.75,0.509,1.160423198
216,1980,Democrats,Democrats,12.26,Jimmy Carter,Democratic,2.75,0.509,1.160423198
217,1980,Democrats,Democrats,12.23,Jimmy Carter,Democratic,2.75,0.509,1.160423198
218,1980,Democrats,Democrats,12.45,Jimmy Carter,Democratic,2.75,0.509,1.160423198
219,1980,Democrats,Democrats,12.6,Jimmy Carter,Democratic,2.75,0.509,1.160423198
220,1980,Democrats,Democrats,12.29,Jimmy Carter,Democratic,2.75,0.509,1.160423198
221,1980,Democrats,Democrats,12.19,Jimmy Carter,Democratic,2.75,0.509,1.160423198
222,1980,Democrats,Democrats,12.22,Jimmy Carter,Democratic,2.75,0.509,1.160423198
223,1980,Democrats,Democrats,12.37,Jimmy Carter,Democratic,2.75,0.509,1.160423198
224,1980,Democrats,Democrats,12.31,Jimmy Carter,Democratic,2.75,0.509,1.160423198
225,1980,Democrats,Democrats,12.3,Jimmy Carter,Democratic,2.75,0.509,1.160423198
226,1980,Democrats,Democrats,12.27,Jimmy Carter,Democratic,2.75,0.509,1.160423198
227,1980,Democrats,Democrats,12.32,Jimmy Carter,Democratic,2.75,0.509,1.160423198
228,1980,Democrats,Democrats,12.51,Jimmy Carter,Democratic,2.75,0.509,1.160423198
229,1980,Democrats,Democrats,12.5,Jimmy Carter,Democratic,2.75,0.509,1.160423198
230,1980,Democrats,Democrats,12.41,Jimmy Carter,Democratic,2.75,0.509,1.160423198
231,1980,Democrats,Democrats,12.43,Jimmy Carter,Democratic,2.75,0.509,1.160423198
232,1980,Democrats,Democrats,12.33,Jimmy Carter,Democratic,2.75,0.509,1.160423198
233,1980,Democrats,Democrats,12.42,Jimmy Carter,Democratic,2.75,0.509,1.160423198
234,1980,Democrats,Democrats,12.68,Jimmy Carter,Democratic,2.75,0.509,1.160423198
235,1980,Democrats,Democrats,12.8,Jimmy Carter,Democratic,2.75,0.509,1.160423198
236,1980,Democrats,Democrats,13.17,Jimmy Carter,Democratic,2.75,0.509,1.160423198
237,1980,Democrats,Democrats,12.82,Jimmy Carter,Democratic,2.75,0.509,1.160423198
238,1980,Democrats,Democrats,12.85,Jimmy Carter,Democratic,2.75,0.509,1.160423198
239,1980,Democrats,Democrats,12.95,Jimmy Carter,Democratic,2.75,0.509,1.160423198
240,1980,Democrats,Democrats,12.74,Jimmy Carter,Democratic,2.75,0.509,1.160423198
241,1980,Democrats,Democrats,12.62,Jimmy Carter,Democratic,2.75,0.509,1.160423198
242,1980,Democrats,Democrats,12.22,Jimmy Carter,Democratic,2.75,0.509,1.160423198
243,1980,Democrats,Democrats,11.75,Jimmy Carter,Democratic,2.75,0.509,1.160423198
244,1980,Democrats,Democrats,11.93,Jimmy Carter,Democratic,2.75,0.509,1.160423198
245,1980,Democrats,Democrats,11.95,Jimmy Carter,Democratic,2.75,0.509,1.160423198
246,1980,Democrats,Democrats,11.84,Jimmy Carter,Democratic,2.75,0.509,1.160423198
247,1980,Democrats,Democrats,11.84,Jimmy Carter,Democratic,2.75,0.509,1.160423198
248,1980,Democrats,Democrats,11.96,Jimmy Carter,Democratic,2.75,0.509,1.160423198
249,1980,Democrats,Democrats,11.98,Jimmy Carter,Democratic,2.75,0.509,1.160423198
250,1981,Republicans,Democrats,12.01,Ronald Reagan,Republican,2.76,0.525,1.095582247
251,1981,Republicans,Democrats,11.67,Ronald Reagan,Republican,2.76,0.525,1.095582247
252,1981,Republicans,Democrats,11.67,Ronald Reagan,Republican,2.76,0.525,1.095582247
253,1981,Republicans,Democrats,11.89,Ronald Reagan,Republican,2.76,0.525,1.095582247
254,1981,Republicans,Democrats,11.91,Ronald Reagan,Republican,2.76,0.525,1.095582247
255,1981,Republicans,Democrats,12.13,Ronald Reagan,Republican,2.76,0.525,1.095582247
256,1981,Republicans,Democrats,12.08,Ronald Reagan,Republican,2.76,0.525,1.095582247
257,1981,Republicans,Democrats,12.08,Ronald Reagan,Republican,2.76,0.525,1.095582247
258,1981,Republicans,Democrats,12.07,Ronald Reagan,Republican,2.76,0.525,1.095582247
259,1981,Republicans,Democrats,12.25,Ronald Reagan,Republican,2.76,0.525,1.095582247
260,1981,Republicans,Democrats,12.13,Ronald Reagan,Republican,2.76,0.525,1.095582247
261,1981,Republicans,Democrats,12.25,Ronald Reagan,Republican,2.76,0.525,1.095582247
262,1981,Republicans,Democrats,12.11,Ronald Reagan,Republican,2.76,0.525,1.095582247
263,1981,Republicans,Democrats,12.33,Ronald Reagan,Republican,2.76,0.525,1.095582247
264,1981,Republicans,Democrats,12.46,Ronald Reagan,Republican,2.76,0.525,1.095582247
265,1981,Republicans,Democrats,12.38,Ronald Reagan,Republican,2.76,0.525,1.095582247
266,1981,Republicans,Democrats,12.28,Ronald Reagan,Republican,2.76,0.525,1.095582247
267,1981,Republicans,Democrats,12.31,Ronald Reagan,Republican,2.76,0.525,1.095582247
268,1981,Republicans,Democrats,12.33,Ronald Reagan,Republican,2.76,0.525,1.095582247
269,1981,Republicans,Democrats,12.38,Ronald Reagan,Republican,2.76,0.525,1.095582247
270,1981,Republicans,Democrats,12.28,Ronald Reagan,Republican,2.76,0.525,1.095582247
271,1981,Republicans,Democrats,12.45,Ronald Reagan,Republican,2.76,0.525,1.095582247
272,1981,Republicans,Democrats,12.61,Ronald Reagan,Republican,2.76,0.525,1.095582247
273,1981,Republicans,Democrats,12.49,Ronald Reagan,Republican,2.76,0.525,1.095582247
274,1981,Republicans,Democrats,12.7,Ronald Reagan,Republican,2.76,0.525,1.095582247
275,1981,Republicans,Democrats,12.73,Ronald Reagan,Republican,2.76,0.525,1.095582247
276,1981,Republicans,Democrats,12.81,Ronald Reagan,Republican,2.76,0.525,1.095582247
277,1981,Republicans,Democrats,12.92,Ronald Reagan,Republican,2.76,0.525,1.095582247
278,1981,Republicans,Democrats,13.01,Ronald Reagan,Republican,2.76,0.525,1.095582247
279,1981,Republicans,Democrats,13.2,Ronald Reagan,Republican,2.76,0.525,1.095582247
280,1981,Republicans,Democrats,12.93,Ronald Reagan,Republican,2.76,0.525,1.095582247
281,1981,Republicans,Democrats,12.88,Ronald Reagan,Republican,2.76,0.525,1.095582247
282,1981,Republicans,Democrats,12.71,Ronald Reagan,Republican,2.76,0.525,1.095582247
283,1981,Republicans,Democrats,12.54,Ronald Reagan,Republican,2.76,0.525,1.095582247
284,1981,Republicans,Democrats,12.81,Ronald Reagan,Republican,2.76,0.525,1.095582247
285,1981,Republicans,Democrats,12.81,Ronald Reagan,Republican,2.76,0.525,1.095582247
286,1981,Republicans,Democrats,12.89,Ronald Reagan,Republican,2.76,0.525,1.095582247
287,1981,Republicans,Democrats,12.98,Ronald Reagan,Republican,2.76,0.525,1.095582247
288,1981,Republicans,Democrats,12.97,Ronald Reagan,Republican,2.76,0.525,1.095582247
289,1981,Republicans,Democrats,13.19,Ronald Reagan,Republican,2.76,0.525,1.095582247
290,1981,Republicans,Democrats,13,Ronald Reagan,Republican,2.76,0.525,1.095582247
291,1981,Republicans,Democrats,13.03,Ronald Reagan,Republican,2.76,0.525,1.095582247
292,1981,Republicans,Democrats,13,Ronald Reagan,Republican,2.76,0.525,1.095582247
293,1981,Republicans,Democrats,12.73,Ronald Reagan,Republican,2.76,0.525,1.095582247
294,1981,Republicans,Democrats,12.64,Ronald Reagan,Republican,2.76,0.525,1.095582247
295,1981,Republicans,Democrats,12.69,Ronald Reagan,Republican,2.76,0.525,1.095582247
296,1981,Republicans,Democrats,12.74,Ronald Reagan,Republican,2.76,0.525,1.095582247
297,1981,Republicans,Democrats,12.59,Ronald Reagan,Republican,2.76,0.525,1.095582247
